KEY,English,Deutsch,Portugues
HullSmallBlocks,Steel Blocks S,Stahlblöcke S,Bloco de ferro
HullThinSmallBlocks,Steel Blocks S (thin),Stahlblöcke S (dünn)
HullBlack,Hull Block (Black),Rumpfblock (schwarz)
HullBlackWedge,Hull Slope (Black),Rumpfblock schräg (schwarz)
HullBlackCorner,Hull Corner (Black),Rumpfblock Ecke (schwarz)
HullBlackWedgeInverse,Hull Inv (Black),Rumpfblock innere Ecke (schwarz)
HullWall,Hull Wall,Rumpfblockwand
HullBlueWall,Hull Wall (Blue),Rumpfblockwand (blau)
HullRedWall,Hull Wall (Red),Rumpfblockwand (rot)
HullYellowWall,Hull Wall (Yellow),Rumpfblockwand (gelb)
HullWhiteWall,Hull Wall (White),Rumpfblockwand (weiß)
HullGreenWall,Hull Wall (Green),Rumpfblockwand (grün)
HullBlackWall,Hull Wall (Black),Rumpfblockwand (schwarz)
HullWallCorner,Hull Wall Corner,Rumpfblockwand Ecke
HullBlueWallCorner,Hull Wall Corner (Blue),Rumpfblockwand Ecke (blau)
HullRedWallCorner,Hull Wall Corner (Red),Rumpfblockwand Ecke (rot)
HullYellowWallCorner,Hull Wall Corner(Yellow),Rumpfblockwand Ecke (gelb)
HullWhiteWallCorner,Hull Wall Corner (White),Rumpfblockwand Ecke (weiß)
HullGreenWallCorner,Hull Wall Corner (Green),Rumpfblockwand Ecke (grün)
HullBlackWallCorner,Hull Wall Corner (Black),Rumpfblockwand Ecke (schwarz)
HullCornerLarge,Hull Corner Large,Rumpfblock lange Ecke
HullBlueCornerLarge,Hull Blue Corner Large,Rumpfblock lange Ecke (blau)
HullRedCornerLarge,Hull Red Corner Large,Rumpfblock lange Ecke (rot)
HullYellowCornerLarge,Hull Yellow Corner Large,Rumpfblock lange Ecke (gelb)
HullWhiteCornerLarge,Hull White Corner Large,Rumpfblock lange Ecke (weiß)
HullGreenCornerLarge,Hull Green Corner Large,Rumpfblock lange Ecke (grün)
HullBlackCornerLarge,Hull Black Corner Large,Rumpfblock lange Ecke (schwarz)
HullRampTop,Hull Slope 1x2 Top,Rumpfblock schräg 1x2 (oben)
HullRampBottom,Hull Slope 1x2 Bottom,Rumpfblock schräg 1x2 (unten)
HullInvertedCornerRound,Hull Corner Round Inv,Rumpfblock runde Ecke (inv)
HullInvertedCornerRoundThin,Hull Corner Round Inv Thin,Rumpfblock runde Ecke (inv) dünn
HullQuarterRoundThin,Hull Quarter Round Thin,Rumpfblock rund dünn (inv)
HullWedgeThin,Hull SlopeThin,Rumpfblock schräg dünn
HullCornerLongA,Hull Corner Long A,Rumpfblock lange Ecke A
HullCornerLongB,Hull Corner Long B,Rumpfblock lange Ecke B
HullCornerLongC,Hull Corner Long C,Rumpfblock lange Ecke C
HullCornerLongD,Hull Corner Long D,Rumpfblock lange Ecke D
HullQuarterRoundInv,Hull Quarter Round Inv,Rumpfblock rund (inv)
HullCurveOutSlopeInv,Hull Curve Out Slope Inv,Rumpfblock Ecke schräg (inv)
HullHalfRoundInv,Hull Half Round Inv,Rumpfblock Ecke rund (inv)
HullCornerThin,Hull Corner Thin,Rumpfblock Ecke dünn
HullCornerRoundThin,Hull Corner Round Thin,Rumpfblock Ecke rund dünn
Interiorlight,Illuminated Block,Leuchtender Block
InteriorlightBlue,Illuminated Block (Blue),Leuchtender Block (blau)
InteriorlightRed,Illuminated Block (Red),Leuchtender Block (rot)
InteriorlightYellow,Illuminated Block (Yellow),Leuchtender Block (gelb)
InteriorlightGreen,Illuminated Block (Green),Leuchtender Block (grün)
InteriorBlock,Interior Block,Innenblock
InteriorBlock01,Interior Block 1,Innenblock 1
InteriorBlock02,Interior Block 2,Innenblock 2
InteriorBlock03,Interior Block 3,Innenblock 3
InteriorBlock04,Interior Block 4,Innenblock 4
InteriorBlock05,Interior Block 5,Innenblock 5
InteriorBlock06,Interior Block 6,Innenblock 6
AlienInteriorGreen01,Alien Block (Green),Außerirdischer Block (grün)
AlienInteriorGreenWedge01,Alien Slope (Green),Außerirdischer Block schräg 1 (grün)
AlienInteriorGreen02,Alien Block 2 (Green),Außerirdischer Block 2 (grün)
StairsBlocks,Stairs Blocks,Treppenblöcke
StairsMS,Stairs Freestanding,Treppe freistehend
StairsWedge,Stairs Wedge,Treppe Block schräg
StairsWedgeLong,Stairs Wedge Long,Treppe Block schräg (lang)
WalkwayBlocks,Walkway & Railing Blocks,Gehweg- & Geländerblöcke
WalkwayVert,Walkway,Gehweg
WalkwayVert02,Walkway 2,Gehweg 2
WalkwaySlope,Walkway Slope,Gehweg schräg
RailingVert,Railing,Geländer
RailingSlope,Railing Slope,Geländer schräg
RailingL,Railing L-Shape,Geländer L-Form
RailingRound,Railing Round,Geländer rund
RailingVertGlass,Glass Railing,Glasgeländer 
RailingLGlass,Glass Railing L-Shape,Glasgeländer L-Form
RailingRoundGlass,Glass Railing Round,Glasgeländer rund
RailingVertGlassInv,Glass Railing,Glasgeländer 
RailingLGlassInv,Glass Railing L-Shape,Glasgeländer L-Form
RailingRoundGlassInv,Glass Railing Round,Glasgeländer rund
InteriorWall,Interior Wall,Innenwand
InteriorWallCorner,Interior Wall Corner,Innenwand Ecke
GrowingPot,Growing Plot,Pflanzenbeet
Cube,Cube,Würfel
InvertedCorner,Cut Corner,Ecke (abgeschnitten)
CornerLongA,Corner Long A,Lange Ecke A
CornerLongB,Corner Long B,Lange Ecke B
CornerLongC,Corner Long C,Lange Ecke C
CornerLongD,Corner Long D,Lange Ecke D
CornerLarge,Corner Large A,Grosse Ecke A
Corner,Corner,Ecke
RampTop,Ramp Top,Rampe (oben)
RampBottom,Ramp Bottom,Rampe (unten)
Wedge,Slope,Rampe
CurveOutSlope,Curved Corner,Gekrümmte Ecke
InvertedCornerRound,Round Cut Corner,Runde Ecke (abgeschnitten)
HalfRound,Round Corner,Runde Ecke
CurveQuarter,Round Corner Long,Runde Ecke (lang)
QuarterRound,Round Slope,Runde Rampe
Cylinder,Cylinder,Zylinder
HalfRoundInv,Inward Corner,Ecke (invertiert)
QuarterRoundInv,Inward Round Slope,Runde Rampe (invertiert)
CurveOutSlopeInv,Inward Curved Corner,Gekrümmte Ecke (invertiert)
RoundSlopeEdgeInward,Round Slope Edge Inward,
CylinderEndA,Cylinder End A,
CylinderEndB,Cylinder End B,
CylinderEndC,Cylinder End C,
RampWedgeTop,Ramp Wedge Top,
Round4WayConnector,Round 4 Way Connector,
RoundSlopeEdge,Round Slope Edge,
CornerLargeB,Corner Large B,
CornerLargeC,Corner Large C,
CornerLargeD,Corner Large D,
CornerLongE,Corner Long E,
PyramidA,Pyramid A,
Wall,Wall,Wand
WallCorner,Wall L-shape,Wand L-Form
WedgeThin,Thin Slope,Rampe (dünn)
CornerThin,Thin Corner,Ecke (dünn)
WallSloped,Sloped Wall,Schräge Wand
WallSlopedBottom,Sloped Wall Bottom (right),"Schräge Wand (unten, rechts)"
WallSlopedTop,Sloped Wall Top (right),"Schräge Wand (oben, rechts)"
WallSlopedBottom2,Sloped Wall Bottom (left),"Schräge Wand (unten, links)"
WallSlopedTop2,Sloped Wall Top (left),"Schräge Wand (oben, links)"
CornerRoundThin,Round Corner Thin,Runde Ecke (dünn)
QuarterRoundThin,Round Slope Thin,Runde Rampe (dünn)
InvertedCornerRoundThin,Round Cut Corner Thin,"Runde Ecke (abgeschnitten, dünn)"
RoundSlopeEdgeThin,Round Slope Edge Thin,
RoundCornerLongThin,Round Corner Long Thin,
CornerRoundThin2,Corner Round Thin 2,
CornerThin2,Corner Thin 2 ,
Wall3Corner,Wall 3 Corner,
WallHalf,Wall Half,
CubeHalf,Cube Half,
RampTopDouble,Ramp Top Double,
RampBottomA,Ramp Bottom A,
RampBottomB,Ramp Bottom B,
RampBottomC,Ramp Bottom C,
RampWedgeBottom,Ramp Wedge Bottom,
Beam,Beam,
CylinderThin,Cylinder Thin,
CylinderThinTJoint,Cylinder Thin T Joint,
CylinderThinCurved,Cylinder Thin Curved,
CylinderFenceBottom,Cylinder Fence Bottom,
CylinderFenceTop,Cylinder Fence Top,
SlopeHalf,Slope Half,
RampSteep,Ramp Steep,Rampe steil
WindowSmallBlocks,Window Blocks S,Fensterblöcke S
WindowLargeBlocks,Window Blocks L,Fensterblöcke L
Window_v1x1,Vertical 1x1,Vertikal 1x1
Window_v1x2,Vertical 1x2,Vertikal 1x2
Window_v2x2,Vertical 2x2,Vertikal 2x2
Window_s1x1,Slope 1x1,Schräg 1x1
Window_s1x2,Slope 1x2,Schräg 1x2
Window_sd1x1,Side 1x1,Seitlich 1x1
Window_sd1x2,Side 1x2,Seitlich 1x2
Window_sd1x2V2,Side 2 1x2,Seitlich 2 1x2
Window_c1x1,Corner 1x1,Ecke 1x1
Window_c1x2,Corner 1x2,Ecke 1x2
Window_cr1x1,Round Vertical,Rund vertikal
Window_crc1x1,Round Corner,Rund Ecke
Window_crsd1x1,Round Side,Rund seitlich
Window_3side1x1,Vertical Corner,Vertikal Ecke
Window_L1x1,Vertical L-Shape,Vertikal L-Form
Window_crl1x1,Round Corner Long,Runde lange Ecke
Window_crse1x1,Round Corner Edge,Runde Winkelecke 
Window_cc1x1,Corner Thin,Dünne Ecke
Window_crctw1x1,Round Corner Thin,Dünne runde Ecke
Window_creA1x1,Connector A,Verbindung A
Window_creB1x1,Connector B,Verbindung B
Window_v1x1Inv,Vertical 1x1,Vertikal 1x1
Window_v1x2Inv,Vertical 1x2,Vertikal 1x2
Window_v2x2Inv,Vertical 2x2,Vertikal 2x2
Window_s1x1Inv,Slope 1x1,Schräg 1x1
Window_s1x2Inv,Slope 1x2,Schräg 1x2
Window_sd1x1Inv,Side 1x1,Seitlich 1x1
Window_sd1x2Inv,Side 1x2,Seitlich 1x2
Window_sd1x2V2Inv,Side 2 1x2,Seitlich 2 1x2
Window_c1x1Inv,Corner 1x1,Ecke 1x1
Window_c1x2Inv,Corner 1x2,Ecke 1x2
Window_cr1x1Inv,Round Vertical,Rund vertikal
Window_crc1x1Inv,Round Corner,Rund Ecke
Window_crsd1x1Inv,Round Side,Rund seitlich
Window_3side1x1Inv,Vertical Corner,Vertikal Ecke
Window_L1x1Inv,Vertical L-Shape,Vertikal L-Form
Window_crl1x1Inv,Round Corner Long,Runde lange Ecke
Window_crse1x1Inv,Round Corner Edge,Runde Winkelecke 
Window_cc1x1Inv,Corner Thin,Dünne Ecke
Window_crctw1x1Inv,Round Corner Thin,Dünne runde Ecke
Window_creA1x1Inv,Connector A,Verbindung A
Window_creB1x1Inv,Connector B,Verbindung B
WindowArmoredSmallBlocks,Armored Window Blocks S,Gepanzerte Fensterblöcke S
WindowArmoredLargeBlocks,Armored Window Blocks L,Gepanzerte Fensterblöcke L
WindowShutterSmallBlocks,Shutter Window Blocks S,Fensterblock mit Blende S
WindowShutterLargeBlocks,Shutter Window Blocks L,Fensterblock mit Blende L
Window_v1x1Thick,Vertical 1x1,Vertikal 1x1
Window_v1x2Thick,Vertical 1x2,Vertikal 1x2
Window_v2x2Thick,Vertical 2x2,Vertikal 2x2
Window_s1x1Thick,Slope 1x1,Schräg 1x1
Window_s1x2Thick,Slope 1x2,Schräg 1x2
Window_sd1x1Thick,Side 1x1,Seitlich 1x1
Window_sd1x2Thick,Side 1x2,Seitlich 1x2
Window_sd1x2V2Thick,Side 2 1x2,Seitlich 2 1x2
Window_c1x1Thick,Corner 1x1,Ecke 1x1
Window_c1x2Thick,Corner 1x2,Ecke 1x2
Window_cr1x1Thick,Round Vertical,Rund vertikal
Window_crc1x1Thick,Round Corner,Rund Ecke
Window_crsd1x1Thick,Round Side,Rund seitlich
Window_3side1x1Thick,Vertical Corner,Vertikal Ecke
Window_L1x1Thick,Vertical L-Shape,Vertikal L-Form
Window_crl1x1Thick,Round Corner Long,Runde lange Ecke
Window_crse1x1Thick,Round Corner Edge,Runde Winkelecke 
Window_cc1x1Thick,Corner Thin,Dünne Ecke
Window_crctw1x1Thick,Round Corner Thin,Dünne runde Ecke
Window_creA1x1Thick,Connector A,Verbindung A
Window_creB1x1Thick,Connector B,Verbindung B
Window_v1x1ThickInv,Vertical 1x1,Vertikal 1x1
Window_v1x2ThickInv,Vertical 1x2,Vertikal 1x2
Window_v2x2ThickInv,Vertical 2x2,Vertikal 2x2
Window_s1x1ThickInv,Slope 1x1,Schräg 1x1
Window_s1x2ThickInv,Slope 1x2,Schräg 1x2
Window_sd1x1ThickInv,Side 1x1,Seitlich 1x1
Window_sd1x2ThickInv,Side 1x2,Seitlich 1x2
Window_sd1x2V2ThickInv,Side 2 1x2,Seitlich 2 1x2
Window_c1x1ThickInv,Corner 1x1,Ecke 1x1
Window_c1x2ThickInv,Corner 1x2,Ecke 1x2
Window_cr1x1ThickInv,Round Vertical,Rund vertikal
Window_crc1x1ThickInv,Round Corner,Rund Ecke
Window_crsd1x1ThickInv,Round Side,Rund seitlich
Window_3side1x1ThickInv,Vertical Corner,Vertikal Ecke
Window_L1x1ThickInv,Vertical L-Shape,Vertikal L-Form
Window_crl1x1ThickInv,Round Corner Long,Runde lange Ecke
Window_crse1x1ThickInv,Round Corner Edge,Runde Winkelecke 
Window_cc1x1ThickInv,Corner Thin,Dünne Ecke
Window_crctw1x1ThickInv,Round Corner Thin,Dünne runde Ecke
Window_creA1x1ThickInv,Connector A,Verbindung A
Window_creB1x1ThickInv,Connector B,Verbindung B
WindowVertShutterArmored,Vertical (non-transparent),Vertikal (nicht transparent)
WindowSlopedShutterArmored,Slope (non-transparent),Schräg (nicht transparent)
WindowSloped2ShutterArmored,Slope Inv (non-transparent),Schräg inv. (nicht transparent)
WindowVertShutterTransArmored,Vertical (transparent),Vertikal (transparent)
WindowSlopedShutterTransArmored,Slope (transparent),Schräg (transparent)
WindowVertBase,Vertical (transparent),Vertikal (transparent)
WindowSlopedBase,Slope (transparent),Schräg (transparent)
WindowVertMS,Vertical (non-transparent),Vertikal (nicht transparent)
WindowSlopedMS,Slope (non-transparent),Schräg (nicht transparent)
WindowSloped2MS,Slope Inv (non-transparent),Schräg inv. (nicht transparent)
TrussCube,Truss Block,Gerüstblock
TrussWedge,Truss Slope,Gerüstblock schräg
TrussCorner,Truss Corner,Gerüstblock Ecke
TrussSmallBlocks,Truss Blocks S,Gerüstblöcke S
TrussLargeBlocks,Truss Blocks L,Gerüstblöcke L
ArmorPlate,Armor Plate,Gepanzerte Platte
SolarPanel,Solar Panel Plate,Solarpanel
SolarBlock,Solar Panel Slope,Solarpanel schräg
InteriorKitchen,Interior Kitchen,Innenblock Küche
InteriorKitchen02,Interior Kitchen 2,Innenblock Küche 2
InteriorLiving,Interior Livingroom,Innenblock Wohnzimmer
InteriorLiving02,Interior Livingroom 2,Innenblock Wohnzimmer 2
InteriorBath,Interior Bathroom,Innenblock Badezimmer
BunkBed,Bunk Bed,Schlafkoje
DecoBlocks,Furnishings (Deco),Mobiliar (Deko-Blöcke)
DecoBlocks2,Lab Equipment (Deco),Laboreinrichtung (Deko-Blöcke)
Scanner3,Scanner 3,
Scanner2,Scanner 2,
ScannerBase1,Scanner 1,
Console4,Console ,
LabTable1,Lab Table 1,
LabTable2,Lab Table 2,
LabTable3,Lab Table 3,
LockerWShelves,Locker,
OperationTableWDrawers,Operating Table,
Props6BoxLarge1,Box Large 1,
Props6BoxLarge2,Box Large 2,
Props6BoxMedium1,Box Medium,
Freezer,Box Large 3,
Level5FreezerOpened,Cryo Chamber,
Tank1,Tank1,
Tank2,Tank2,
Level4Prop2,Repository 1,
Level4Prop3,Repository 2,
ConsoleBlocks,Consoles (Deco),Konsolen (Deko-Blöcke)
LCDScreenBlocks,LCD Screen Blocks,LCD Display Blöcke
LCDNoFrame1x1,LCD 1x1 (No Frame),LCD 1x1 (ohne Rahmen)
LCDFrame1x1,LCD 1x1 (Frame),LCD 1x1 (mit rahmen)
LCDNoFrame1x2,LCD 1x2 (No Frame),LCD 1x2 (ohne Rahmen)
LCDFrame1x2,LCD 1x2 (Frame),LCD 1x2 (mit rahmen)
LCDNoFrame05x1,LCD 0.5x1 (No Frame),LCD 0.5x1 (ohne Rahmen)
LCDNoFrame05x05,LCD 0.5x0.5 (No Frame),LCD 0.5x0.5 (ohne Rahmen)
LCDNoFrame02x1,LCD 0.2x1 (No Frame),LCD 0.2x1 (ohne Rahmen)
LCDNoFrame02x05,LCD 0.2x0.5 (No Frame),LCD 0.2x0.5 (ohne Rahmen)
IndoorPlants,Artificial Plants (Deco),Künstliche Zimmerpflanzen
CockpitMS01,Cockpit,Cockpit
CockpitMS02,Cockpit 2,Cockpit 2
ThrusterJetRound1x3x1,Thruster Jet S (1x3x1),Schubdüse Jet S (1x3x1)
ThrusterJetRound2x5x2,Thruster Jet M (2x5x2),Schubdüse Jet M (2x5x2)
ThrusterJetRound3x7x3,Thruster Jet L (3x7x3),Schubdüse Jet L (3x7x3)
ThrusterJetRound3x10x3,Thruster Jet XL (3x10x3),Schubdüse Jet XL (3x10x3)
ThrusterJetRound3x13x3,Thruster Jet XXL (3x13x3),Schubdüse Jet XXL (3x13x3)
ThrusterSVRoundBlocks,Thruster Blocks M,Schubdüsenblöcke M
ThrusterSVRoundNormal,Thruster Regular M,Schubdüse regulär M
ThrusterSVRoundArmored,Thruster Enclosed M,Schubdüse eingebaut M
ThrusterSVRoundSlant,Thruster Slant M,Schubdüse schräg M
ThrusterSVRoundAtmo,Thruster Long M,Schubdüse lang M
ThrusterMSRoundBlocks,Thruster Blocks M,Schubdüsenblöcke M
ThrusterMSRoundNormal,Thruster Regular M,Schubdüse regulär M
ThrusterMSRoundArmored,Thruster Enclosed M,Schubdüse eingebaut M
ThrusterMSRoundSlant,Thruster Slant M,Schubdüse schräg M
ThrusterMSRound2x2Blocks,Thruster Blocks L,Schubdüsenblöcke L
ThrusterMSRoundNormal2x2,Thruster Regular L,Schubdüse regulär L
ThrusterMSRoundArmored2x2,Thruster Enclosed L,Schubdüse eingebaut L
ThrusterMSRoundSlant2x2,Thruster Slant L,Schubdüse schräg L
ThrusterMSRound3x3Blocks,Thruster Blocks XL,Schubdüsenblöcke XL
ThrusterMSRoundNormal3x3,Thruster Regular XL,Schubdüse regulär XL
ThrusterMSRoundArmored3x3,Thruster Enclosed XL,Schubdüse eingebaut XL
ThrusterMSRoundSlant3x3,Thruster Slant XL,Schubdüse schräg XL
ThrusterMSDirectional,Thruster S,Schubdüse S
ThrusterSVDirectional,Thruster S,Schubdüse S
ThrusterGVDirectional,Thruster S,Schubdüse S
ThrusterGVRoundBlocks,Thruster Blocks M,Schubdüsenblöcke M
ThrusterGVRoundNormal,Thruster Regular M,Schubdüse regulär M
ThrusterGVRoundArmored,Thruster Enclosed M,Schubdüse eingebaut M
ThrusterGVRoundSlant,Thruster Slant M,Schubdüse schräg M
FridgeMS,Fridge (T1),Kühlschrank (T1)
FridgeMS02,Fridge (T2),Kühlschrank (T2)
FridgeSV,Fridge,Kühlschrank
OxygenTankSmallMS,Small O2 Tank,O2 Tank klein
OxygenTankMS,Large O2 Tank,O2 Tank groß
OxygenTankSV,O2 Tank,O2 Tank
PassengerSeat2SV,Passenger Seat (open),Passagiersitz (offen)
PassengerSeatSV,Passenger Seat (closed),Passagiersitz (geschlossen)
PassengerSeatSS_Slope,Passenger Seat,Passagiersitz
PassengerSeatSS_Cube,Passenger Seat,Passagiersitz
ConstructorT1,Large Constructor (old - please replace),Konstruktor groß (alt - bitte austauschen)
ConstructorT1V2,Large Constructor,Konstruktor groß
ConstructorT2,Advanced Constructor,Verbesserter Konstruktor
AutoMiningDeviceT1,Auto Mining Device (T1),Automatisches Bergbaugerät (T1)
AutoMiningDeviceT2,Auto Mining Device (T2),Automatisches Bergbaugerät (T2)
AutoMiningDeviceT3,Auto Mining Device (T3),Automatisches Bergbaugerät (T3)
ConstructorMS,Large Constructor,Konstruktor groß
ConstructorRecursive,Advanced Constructor,Verbesserter Konstruktor
ConstructorSV,Mobile Constructor (old - please replace),Mobiler Konstruktor (alt - bitte austauschen)
ConstructorSmallV2,Mobile Constructor,Mobiler Konstruktor
ConstructorSurvival,Survival Constructor,Überlebens-Konstruktor
ConstructorSurvivalV2,Survival Constructor,Überlebens-Konstruktor
ElevatorMS,Elevator Block,Aufzugsblock
WarpDriveTank,Warp Drive Tank,Warpantrieb Treibstofftank
WarpDrive,Warp Drive,Warp Antrieb
GeneratorMS,Large Generator (T1),Generator groß (T1)
GeneratorMST2,Large Generator (T2),Generator groß (T2)
GeneratorBA,Small Generator,Generator klein
CloneChamber,Clone Chamber,Klonkammer
MedicinelabMS,Medic Station,Medizinstation
OxygenStation,O2 Station,O2 Station
OxygenStationSV,O2 Station,O2 Station
OxygenStationSS,O2 Station,O2 Station
GravityGeneratorMS,Gravity Generator,Schwerkraft-Generator
OfflineProtector,Offline Protection,Offlineschutz
RCSBlockSV,RCS,RCS
RCSBlockGV,RCS,RCS
RCSBlockEscapePod,RCS (damaged),RCS (beschädigt)
RCSBlockMS,RCS,RCS
RCSBlockMS_T2,RCS (T2),RCS (T2)
ContainerBlocks,Cargo Box Blocks,Frachtboxblöcke
ContainerMS01,Cargo Box,Frachtbox
ContainerRandom,Cargo Box (POI),Frachtbox (POI)
LightLargeBlocks,Light Blocks,Lichtblöcke
LightLantern,Light (Lantern),Licht (Laterne)
LightMS01,Light 1,Licht 1
LightMS01Corner,Light 1 (Corner),Licht 1 (Ecke)
LightMS01Offset,Light 1 (not centered),Licht 1 (nicht zentriert)
LightMS02,Light 2,Licht 2
LightMS03,Light 3,Licht 3
LightMS04,Light 4,Licht 4
LightInterior01,Light 5,Licht 5
LightInterior02,Light 6,Licht 6
LightSS01,Light,Licht
Flare,Flare,Signallicht
LightWork,Portable Work Light 1,Tragbares Arbeitslicht 1
LightWork02,Portable Work Light 2,Tragbares Arbeitslicht 2
LightPlant01,Plant Grow Light,Pflanzenlicht
DoorBlocks,Automatic Door Blocks,Automatiktür Blöcke
DoorMS01,Automatic Door 1,Automatiktür 1
DoorInterior01,Automatic Door 2,Automatiktür 2
DoorInterior02,Automatic Door 3,Automatiktür 3
