"String Identifier","English (United States)","Chinese Simplified",French,German,"Portuguese (Brazil)",Spanish,"String Description"
HullArmoredThinLarge,"Hardened Steel Block L",大型高硬钢块,"Grand bloc d'acier trempé","Gehärteter Stahlblock L",,"Bloque de acero endurecido L",
HullCombatLargeBlocks,"Combat Steel Blocks L ",大型战斗钢块,"Grand bloc d'acier militaire","Gefechts-Stahlblöcke L ",,"Bloques de acero Blindados L",
HullCombatThinLargeBlocks,"Combat Steel Blocks L (thin)",大型战斗钢块（薄）,"Grand blocs d'acier militaire mince","Gefechts-Stahlblöcke L (dünn)",,"Bloques de acero Blindados L delgados",
HullCombatFullLarge,"Combat Steel Block L",大型战斗钢块,"Grand bloc d'acier militaire","Gefechts-Stahlblock L",,"Bloque de acero Blindado L",
HullCombatThinLarge,"Combat Steel Block L",大型战斗钢块,"Grand bloc d'acier militaire","Gefechts-Stahlblock L",,"Bloque de acero Blindado G",
WoodBlocks,"Wood Blocks ",木块,"Blocs de bois","Holzblöcke ",,"Bloques de madera ",
WoodThinBlocks,"Wood Blocks (thin)",木块(薄),"Blocs de bois (Mince)","Holzblöcke (dünn)","Blocos finos de Madeira","Bloques de madera delgados",
WoodFull,"Wood Block",木块,"Bloc de bois",Holzblock,"Bloco de Madeira","Bloque de madera",
WoodThin,"Wood Block",木块,"Bloc de bois",Holzblock,"Bloco de Madeira Fino","Bloque de madera",
ConcreteBlocks,"Concrete Blocks ",混凝土块,"Blocs de béton","Betonblöcke ","Blocos de Concreto","Bloques de hormigón ",
ConcreteThinBlocks,"Concrete Blocks (thin)",混凝土块(薄),"Blocs de béton (Mince)","Betonblöcke (dünn)","Bloco fino de concreto","Bloques de hormigón delgados",
ConcreteFull,"Concrete Block",混凝土块,"Bloc de béton",Betonblock,"Bloco de concreto","Bloque de hormigón",
ConcreteThin,"Concrete Block",混凝土块,"Bloc de béton",Betonblock,"Bloco de concreto","Bloque de hormigón",
HullFull,"Steel Block",钢块,"Bloc d'acier",Stahlblock,"Bloco de aço","Bloque de acero",
HullThin,"Steel Block",钢块,"Bloc d'acier",Stahlblock,"Bloco de aço","Bloque de acero",
HullArmoredFull,"Hardened Steel Block",高硬钢块,"Bloc d'acier trempé","Gehärteter Stahlblock",,"Bloque de acero endurecido",
HullArmoredThin,"Hardened Steel Block",硬化钢块,"Bloc d'acier trempé","Gehärteter Stahlblock",,"Bloque de acero endurecido",
Artificialmass,"Artificial Mass",人工质能,"Masse artificielle","Künstliche Masse","Massa artificial","Masa Artificial",
ArtMassBlocks,"Artificial Mass Blocks",人工质能块,"Masses artificielles","Künstliche Masse Blöcke","Blocos de massa artificial","Bloques de Masa Artificial",
ArtMassLight,"Artificial Mass (Light)",人工质能（轻型）,"Masse artificielle légère","Künstliche Masse (leicht)","Massa artifical leve","Masa artificial (ligera)",
ArtMassMedium,"Artificial Mass (Medium)",人工质能（中型）,"Masse artificielle moyenne","Künstliche Masse (mittel)","Massa artificial média","Masa artificial (media)",
ArtMassHeavy,"Artificial Mass (Heavy)",人工质能（重型）,"Masse artificielle lourde","Künstliche Masse (schwer)","Massa artificial pesada","Masa artificial (pesada)",
AlienBlocks,"Alien Blocks ",异星块,"Blocs alien","Alienblöcke ","Blocos alienígenas ","Bloques alienígenas ",
AlienThinBlocks,"Alien Blocks (thin)",异星块（薄）,"Blocs alien (Mince)","Alienblöcke (dünn)","Blocos alienígenas (finos) ","Bloques delgados alienígenas ",
AlienFull,"Alien Block",异星块,"Bloc alien",Alienblock,"Bloco alienígena","Bloque alienígena",
AlienThin,"Alien Block",异星块,"Bloc alien",Alienblock,"Bloco alienígena","Bloque alienígena",
WingBlocks,"Wing Blocks",机翼,Ailes,Flügelblöcke,"Blocos tipo asa","Bloques de alas",
Wing6x9a,"Wing A (6x9)",A型机翼（6X9）,"Aile A (6x9)","Flügel A (6x9)","Asa A (6x9)","Ala A (6x9)",
Wing6x9b,"Wing B (6x9)",B型机翼（6X9）,"Aile B (6x9)","Flügel B (6x9)","Asa B (6x9)","Ala B (6x9)",
Wing6x9c,"Wing C (6x9)",C型机翼（6X9）,"Aile C (6x9)","Flügel C (6x9)","Asa C (6x9)","Ala C (6x9)",
Wing6x9d,"Wing D (6x9)",D型机翼（6X9),"Aile D (6x9)","Flügel D (6x9)","Asa D (6x9)","Ala D (6x9)",
Wing6x9e,"Wing E (6x9)","E型机翼 (6x9)","Aile E (6x9)","Flügel E (6x9)","Asa E (6x9)","Ala E (6x9)",
Wing6x5a,"Wing A (6x5)",A型机翼（6X5）,"Aile A (6x5)","Flügel A (6x5)","Asa A (6x5)","Ala A (6x5)",
Wing6x5b,"Wing B (6x5)","B型机翼 (6x5)","Aile B (6x5)","Flügel B (6x5)","Asa B (6x5)","Ala B (6x5)",
Wing6x5c,"Wing C (6x5)","C型机翼 (6x5)","Aile C (6x5)","Flügel C (6x5)","Asa C (6x5)","Ala C (6x5)",
Wing6x5d,"Wing D (6x5)","D型机翼 (6x5)","Aile D (6x5)","Flügel D (6x5)","Asa D (6x5)","Ala D (6x5)",
Wing6x5e,"Wing E (6x5)","E型机翼 (6x5)","Aile E (6x5)","Flügel E (6x5)","Asa E (6x5)","Ala E (6x5)",
Wing9x6a,"Wing A (9x6)","A型机翼 (9x6)","Aile A (9x6)","Flügel A (9x6)","Asa A (9x6)","Ala A (9x6)",
Wing9x6b,"Wing B (9x6)","B型机翼 (9x6)","Aile B (9x6)","Flügel B (9x6)","Asa B (9x6)","Ala B (9x6)",
Wing9x6c,"Wing C (9x6)","C型机翼 (9x6)","Aile C (9x6)","Flügel C (9x6)","Asa C (9x6)","Ala C (9x6)",
Wing9x6d,"Wing D (9x6)","D型机翼 (9x6)","Aile D (9x6)","Flügel D (9x6)","Asa D (9x6)","Ala D (9x6)",
Wing9x6e,"Wing E (9x6)",E型机翼（9x6）,"Aile E (9x6)","Flügel E (9x6)","Asa E (9x6)","Ala E (9x6)",
Wing12x9a,"Wing A (12x9)","A型机翼 (12x9)","Aile A (12x9)","Flügel A (12x9)","Asa A (12x9)","Ala A (12x9)",
Wing12x9b,"Wing B (12x9)","B型机翼 (12x9)","Aile B (12x9)","Flügel B (12x9)","Asa B (12x9)","Ala B (12x9)",
Wing12x9c,"Wing C (12x9)","C型机翼 (12x9)","Aile C (12x9)","Flügel C (12x9)","Asa C (12x9)","Ala C (12x9)",
Wing12x9d,"Wing D (12x9)","D型机翼 (12x9)","Aile D (12x9)","Flügel D (12x9)","Asa D (12x9)","Ala D (12x9)",
Wing12x9e,"Wing E (12x9)","E型机翼 (12x9)","Aile E (12x9)","Flügel E (12x9)","Asa E (12x9)","Ala E (12x9)",
Hull,"Hull Cube (Grey)",船体方块（灰）,"Coque (Gris)","Rumpfblock (grau)","Cubo de casco cinza","Cubo (gris)",
HullWedge,"Hull Slope (Grey)",倾斜,"Coque, pente (gris)","Rumpfblock schräg (grau)",Declive,"Cubo en pendiente (gris)",
HullCorner,"Hull Corner (Grey)","Hull Corner (灰色)","Coque, coin (gris)","Rumpfblock Ecke (grau)","Canto de casco cinza","Cubo angular (gris)",
HullWedgeInverse,"Hull Inv (Grey)","Hull Inv (灰色)","Coque, inversé (gris)","Rumpfblock innere Ecke (grau)",,"Invertido (gris)",
HullQuarterRound,"Hull Quarter Round",扇形,"Coque, arrondi","Rumpfblock rund",,"1/4 de cilindro",
HullHalfRound,"Hull Half Round","Hull Half Round","Coque, demi rond","Rumpfblock Ecke rund",,"Medio cilindro",
HullCurveOutSlope,"Hull Curve Out Slope","Hull Curve Out Slope","Coque, pente sortante","Rumpfblock Ecke schräg","Canto curvado","Curva Angular Pendiente",
HullCurveQuarter,"Hull Curve Quarter","Hull Curve Quarter","Coque, courbe, quartier","Rumpfblock Ecke abgerundet",,"1/4 de curva",
HullBlue,"Hull Block (Blue)","Hull Block (蓝色)","Coque, block (bleu)","Rumpfblock (blau)",,"Bloque de casco (azul)",
HullBlueWedge,"Hull Slope (Blue)","Hull Slope (蓝色)","Coque, pente (bleu)","Rumpfblock schräg (blau)",,"Bloque en pendiente (azul)",
HullBlueCorner,"Hull Corner (Blue)","Hull Corner (蓝色)","Coque, coin (bleu)","Rumpfblock Ecke (blau)",,"Bloque angular (azul)",
HullBlueWedgeInverse,"Hull Inv (Blue)","Hull Inv 蓝色)","Coque, inversée (bleu)","Rumpfblock innere Ecke (blau)","Hull Inv (Blue)","Bloque invertido (azul)",
HullRed,"Hull Block (Red)","Hull Block (红色)","Coque, block (rouge)","Rumpfblock (rot)","Bloco de casco (Vermelho)","Bloque de casco (rojo)",
HullRedWedge,"Hull Slope (Red)","Hull Slope (红色)","Coque, pente (rouge)","Rumpfblock schräg (rot)","Hull Slope (Red)","Bloque en pendiente (rojo)",
HullRedCorner,"Hull Corner (Red)","Hull Corner (红色)","Coque, coin (rouge)","Rumpfblock Ecke (rot)",,"Bloque angular (rojo)",
HullRedWedgeInverse,"Hull Inv (Red)","Hull Inv (红色)","Coque, inversée (rouge)","Rumpfblock innere Ecke (rot)",,"Bloque invertido (rojo)",
HullYellow,"Hull Block (Yellow)","Hull Block (黄色)","Coque, block (jaune)","Rumpfblock (gelb)",,"Bloque de casco (amarillo)",
HullYellowWedge,"Hull Slope (Yellow)","Hull Slope (黄色)","Coque, pente (jaune)","Rumpfblock schräg (gelb)",,"Bloque en pendiente (amarillo)",
HullYellowCorner,"Hull Corner (Yellow)","Hull Corner (黄色)","Coque, coin (jaune)","Rumpfblock Ecke (gelb)",,"Bloque angular (amarillo)",
HullYellowWedgeInverse,"Hull Inv (Yellow)","Hull Inv (Yellow)","Coque, inversée (jaune)","Rumpfblock innere Ecke (gelb)",,"Bloque invertido (amarillo)",
HullWhite,"Hull Block (White)","Hull Block (白色)","Coque, block (blanc)","Rumpfblock (weiß)",,"Bloque de casco (blanco)",
HullWhiteWedge,"Hull Slope (White)","Hull Slope (白色)","Coque, pente (blanc)","Rumpfblock schräg (weiß)",,"Bloque en pendiente (blanco)",
HullWhiteCorner,"Hull Corner (White)","Hull Corner (白色)","Coque, coin (blanc)","Rumpfblock Ecke (weiß)",,"Bloque angular (blanco)",
HullWhiteWedgeInverse,"Hull Inv (White)","Hull Inv (白色)","Coque, inversée (blanc)","Rumpfblock innere Ecke (weiß)",,"Bloque invertido (blanco)",
HullGreen,"Hull Block (Green)","Hull Block (绿色)","Coque (vert)","Rumpfblock (grün)",,"Bloque de casco (verde)",
HullGreenWedge,"Hull Slope (Green)","Hull Slope (绿色)","Coque, pente (vert)","Rumpfblock schräg (grün)",,"Bloque en pendiente (verde)",
HullGreenCorner,"Hull Corner (Green)","Hull Corner (绿色)","Coque, coin (vert)","Rumpfblock Ecke (grün)",,"Bloque angular (verde)",
HullGreenWedgeInverse,"Hull Inv (Green)","Hull Inv (绿色)","Coque, inversée (vert)","Rumpfblock innere Ecke (grün)",,"Bloque invertido (verde)",
HullBlack,"Hull Block (Black)","Hull Block (黑色)","Coque (noir)","Rumpfblock (schwarz)",,"Bloque de casco (negro)",
HullBlackWedge,"Hull Slope (Black)","Hull Slope (黑色)","Coque, pente (noir)","Rumpfblock schräg (schwarz)",,"Bloque en pendiente (negro)",
HullBlackCorner,"Hull Corner (Black)","Hull Corner (黑色)","Coque, coin (noir)","Rumpfblock Ecke (schwarz)",,"Bloque angular (negro)",
HullBlackWedgeInverse,"Hull Inv (Black)","Hull Inv (黑色)","Coque, inversée (noir)","Rumpfblock innere Ecke (schwarz)",,"Bloque invertido (negro)",
HullWall,"Hull Wall","Hull Wall","Coque, mur",Rumpfblockwand,Muro,Muro,
HullBlueWall,"Hull Wall (Blue)","Hull Wall (蓝色)","Coque, mur (bleu)","Rumpfblockwand (blau)",,"Muro (azul)",
HullRedWall,"Hull Wall (Red)","Hull Wall (红色)","Coque, mur (rouge)","Rumpfblockwand (rot)",,"Muro (rojo)",
HullYellowWall,"Hull Wall (Yellow)","Hull Wall (黄色)","Coque, mur (jaune)","Rumpfblockwand (gelb)",,"Muro (amarillo)",
HullWhiteWall,"Hull Wall (White)","Hull Wall (白色)","Coque, mur (blanc)","Rumpfblockwand (weiß)",,"Muro (blanco)",
HullGreenWall,"Hull Wall (Green)","Hull Wall (绿色)","Coque, mur (vert)","Rumpfblockwand (grün)",,"Muro (verde)",
HullBlackWall,"Hull Wall (Black)","Hull Wall (黑色","Coque, mur (noir)","Rumpfblockwand (schwarz)",,"Muro (negro)",
HullWallCorner,"Hull Wall Corner","Hull Wall Corner","Coque, coin de mur","Rumpfblockwand Ecke",,"Muro angular",
HullBlueWallCorner,"Hull Wall Corner (Blue)","Hull Wall Corner (蓝色)","Coque, coin de mur (bleu)","Rumpfblockwand Ecke (blau)",,"Muro angular (azul)",
HullRedWallCorner,"Hull Wall Corner (Red)","Hull Wall Corner (红色)","Coque, coin de mur (rouge)","Rumpfblockwand Ecke (rot)",,"Muro angular (rojo)",
HullYellowWallCorner,"Hull Wall Corner(Yellow)","Hull Wall Corner(黄色)","Coque, coin de mur (jaune)","Rumpfblockwand Ecke (gelb)",,"Muro angular (amarillo)",
HullWhiteWallCorner,"Hull Wall Corner (White)","Hull Wall Corner (白色)","Coque, coin de mur (blanc)","Rumpfblockwand Ecke (weiß)",,"Muro angular (blanco)",
HullGreenWallCorner,"Hull Wall Corner (Green)","Hull Wall Corner (绿色)","Coque, coin de mur (vert)","Rumpfblockwand Ecke (grün)",,"Muro angular (verde)",
HullBlackWallCorner,"Hull Wall Corner (Black)","Hull Wall Corner (黑色)","Coque, coin de mur (noir)","Rumpfblockwand Ecke (schwarz)",,"Muro angular (negro)",
HullCornerLarge,"Hull Corner Large","Hull Corner Large","Coque, grand coin","Rumpfblock lange Ecke","Canto Longo A","Bloque Angular L",
HullBlueCornerLarge,"Hull Blue Corner Large","Hull Blue Corner Large","Coque, grand coin (bleu)","Rumpfblock lange Ecke (blau)",,"Bloque angular azul L",
HullRedCornerLarge,"Hull Red Corner Large","Hull Red Corner Large","Coque, grand coin (rouge)","Rumpfblock lange Ecke (rot)",,"Bloque angular rojo L",
HullYellowCornerLarge,"Hull Yellow Corner Large",,"Coque, grand coin (jaune)","Rumpfblock lange Ecke (gelb)","Casco amarelo - Canto grande","Bloque angular amarillo L",
HullWhiteCornerLarge,"Hull White Corner Large",,"Coque, grand coin (blanc)","Rumpfblock lange Ecke (weiß)","Casco branco - Canto grande","Bloque angular blanco L",
HullGreenCornerLarge,"Hull Green Corner Large","Hull Green Corner Large","Coque, grand coin (vert)","Rumpfblock lange Ecke (grün)","Casco verde - Canto grande","Bloque angular verde L",
HullBlackCornerLarge,"Hull Black Corner Large",,"Coque, grand coin (noir)","Rumpfblock lange Ecke (schwarz)","Casco preto - Canto grande","Blioque angular negro L",
HullRampTop,"Hull Slope 1x2 Top",,"Coque, pente 1x2 haut","Rumpfblock schräg 1x2 (oben)",,"Cubierta del casco 1x2 Tapa",
HullRampBottom,"Hull Slope 1x2 Bottom",,"Coque, pente 1x2 bas","Rumpfblock schräg 1x2 (unten)",,"Inclinación del casco 1x2 Parte inferior",
HullInvertedCornerRound,"Hull Corner Round Inv",,"Coque, coin arrondi inversé","Rumpfblock runde Ecke (inv)",,"Esquina del casco ronda invertida",
HullInvertedCornerRoundThin,"Hull Corner Round Inv Thin",,"Coque, coin arrondi inversé mince","Rumpfblock runde Ecke (inv) dünn",,"Esquina del casco ronda invertida delgada",
HullQuarterRoundThin,"Hull Quarter Round Thin",,"Coque, quart arrondi mince","Rumpfblock rund dünn (inv)",,"Casco angular redondo delgado",
HullWedgeThin,"Hull SlopeThin",,"Coque, pente mince","Rumpfblock schräg dünn",,"Pendiente del casco delgada",
HullCornerLongA,"Hull Corner Long A",,"Coque, coin long A","Rumpfblock lange Ecke A","Casco - Canto Longo A","Esquina del casco Larga A",
HullCornerLongB,"Hull Corner Long B",,"Coque, coin long B","Rumpfblock lange Ecke B","Casco - Canto Longo B","Esquina del casco Larga B",
HullCornerLongC,"Hull Corner Long C",,"Coque, coin long C","Rumpfblock lange Ecke C","Casco - Canto Longo C","Esquina del casco Larga C",
HullCornerLongD,"Hull Corner Long D",,"Coque, coin long D","Rumpfblock lange Ecke D","Casco - Canto Longo D","Esquina del casco Larga D",
HullQuarterRoundInv,"Hull Quarter Round Inv",,"Coque, quart arrondi inversé","Rumpfblock rund (inv)",,"Casco redondo invertido",
HullCurveOutSlopeInv,"Hull Curve Out Slope Inv",,"Coque, pente courbe inversée","Rumpfblock Ecke schräg (inv)",,"Curva del casco hacia fuera Pendiente Inv",
HullHalfRoundInv,"Hull Half Round Inv",,"Coque, demi arrondi inversé","Rumpfblock Ecke rund (inv)",,"Invertido redondo medio del casco",
HullCornerThin,"Hull Corner Thin",,"Coque, coin mince","Rumpfblock Ecke dünn","Casco Canto Fino","Casco angular delgado",
HullCornerRoundThin,"Hull Corner Round Thin",,"Coque, coin arrondi mince","Rumpfblock Ecke rund dünn","Casco Canto arredondado Fino","Esquina del casco Redonda delgada",
Interiorlight,"Illuminated Block",发光块,"Bloc lumineux","Leuchtender Block","Bloco iluminado","Bloque iluminado",
InteriorlightBlue,"Illuminated Block (Blue)",发光块（蓝色）,"Bloc lumineux (bleu)","Leuchtender Block (blau)","Bloco iluminado (azul)","Bloque iluminado (azul)",
InteriorlightRed,"Illuminated Block (Red)",发光块（红色）,"Bloc lumineux (rouge)","Leuchtender Block (rot)","Bloco iluminado (vermelho)","Bloque Iluminado (Rojo)",
InteriorlightYellow,"Illuminated Block (Yellow)",发光块（黄色）,"Bloc lumineux (jaune)","Leuchtender Block (gelb)","Bloco iluminado (amarelo)","Bloque Iluminado (Amarillo)",
InteriorlightGreen,"Illuminated Block (Green)",发光块（绿色）,"Bloc lumineux (vert)","Leuchtender Block (grün)","Bloco iluminado (verde)","Bloque Iluminado (Verde)",
InteriorBlock,"Interior Block",内部块,"Bloc intérieur",Innenblock,"Bloco interior","Bloque Interior",
InteriorBlock01,"Interior Block 1",内部块1,"Bloc intérieur 1","Innenblock 1","Bloco interior 1","Bloque Interior 1",
InteriorBlock02,"Interior Block 2",内部块2,"Bloc intérieur 2","Innenblock 2","Bloco interior 2","Bloque Interior 2",
InteriorBlock03,"Interior Block 3",内部块3,"Bloc intérieur 3","Innenblock 3","Bloco interior 3","Bloque Interior 3",
InteriorBlock04,"Interior Block 4",内部块4,"Bloc intérieur 4","Innenblock 4","Bloco interior 4","Bloque Interior 4",
InteriorBlock05,"Interior Block 5",内部块5,"Bloc intérieur 5","Innenblock 5","Bloco interior 5","Bloque Interior 5",
InteriorBlock06,"Interior Block 6",内部块6,"Bloc intérieur 6","Innenblock 6","Bloco interior 6","Bloque Interior 6",
AlienInteriorGreen01,"Alien Block (Green)",异星块（绿色）,"Bloc alien (vert)","Außerirdischer Block (grün)","Bloco alienígena (verde)","Bloque Alien (Verde)",
AlienInteriorGreenWedge01,"Alien Slope (Green)",,"Bloc alien, pente (vert)","Außerirdischer Block schräg 1 (grün)","Declive alienígena (verde)","Bloque Alien en pendiente (Verde)",
AlienInteriorGreen02,"Alien Block 2 (Green)",异星块2（绿色）,"Bloc alien 2 (vert)","Außerirdischer Block 2 (grün)","Bloco alienígena 2 (verde)","Bloque Alien 2 (Verde)",
StairsBlocks,"Stairs Blocks",梯形块,"Bloc escalier",Treppenblöcke,"Blocos de escadas","Bloque de Escaleras",
StairsMS,"Stairs Freestanding",楼梯,"Bloc escalier vide","Treppe freistehend","Escadas sem corrimão","Escaleras Independientes",
StairsWedge,"Stairs Wedge",楼梯,"Bloc escalier plein","Treppe schräg","Borda de escada","Escaleras en cuña",
StairsWedgeLong,"Stairs Wedge Long",楼梯,"Bloc escalier plein, long","Treppe schräg (lang)","Borda de escada longa","Escaleras en cuña largas",
Stairs1x1x1,"Stairs Wedge (texturable)","Stairs Wedge (texturable)","Bloc d'escalier droit, accepte les textures","Treppe schräg (texturierbar)",,"Escaleras en Cuña (texturable)",
StairsCurved,"Stairs Corner (texturable)",楼梯角（纹理）,"Bloc d'escalier d'angle, accepte les textures","Treppe Ecke (texturierbar)",,"Escaleras angulares (Texturables)",
WalkwayBlocks,"Walkway & Railing Blocks","通道 & 栏杆","Passerelles et rambardes","Gehweg- & Geländerblöcke","Calçadas e trilhos","Pasarelas y Barandillas",
WalkwayVertNew,Walkway,通道块,Passerelle,Gehweg,,Pasarela,
WalkwayVert02,"Walkway 2",通道2,"Passerelle 2","Gehweg 2","Calçada 2","Pasarela 2",
WalkwayVert,Walkway,通道,Passerelle,Gehweg,Calçada,Pasarela,
WalkwaySlope,"Walkway Slope",斜通道,"Passerelle inclinée","Gehweg schräg","Declive de calçada","Pasarela en pendiente",
WalkwaySlopeNew,"Walkway Slope 2",坡道走廊2,"Passerelle inclinée 2","Gehweg schräg 2",,"Pasarela en pendiente 2",
RailingVert,Railing,栏杆,Rambarde,Geländer,Grade,Barandilla,
RailingDiagonal,"Railing Diagonal ",,"Rambarde diagonale","Geländer diagonal",,"Barandilla Diagonal",
RailingSlopeLeft,"Railing Slope (left)",,"Rambarde inclinée gauche","Geländer schräg (links)",,"Pasarela en pendiente (izq)",
RailingSlopeRight,"Railing Slope (right)",,"Rambarde inclinée droite","Geländer schräg (rechts)",,"Pasarela en pendiente (der)",
RailingL,"Railing L-Shape",L型栏杆,"Rambarde en L","Geländer L-Form","Grade em L","Barandilla en forma de L",
RailingRound,"Railing Round",圆形栏杆,"Rambarde arrondie","Geländer rund","Grade do chão","Barandilla circular",
RailingVertGlass,"Glass Railing",玻璃栏杆,"Rambarde en verre","Glasgeländer ","Grade com vidro","Barandilla de cristal",
RailingLGlass,"Glass Railing L-Shape",L型玻璃栏杆,"Rambarde en verre en L","Glasgeländer L-Form","Grade com vidro em L","Barandilla de cristal en forma de L",
RailingSlope,"Railing Slope",斜栏杆,"Rambarde inclinée","Geländer schräg","Grade lateral","Barandilla en pendiente",
RailingRoundGlass,"Glass Railing Round",圆形玻璃栏杆,"Rambarde en verre arrondie","Glasgeländer rund","Grande com vidro arredondada","Barandilla de cristal redonda",
RailingVertGlassInv,"Glass Railing",玻璃栏杆,"Rambarde en verre","Glasgeländer ","Grade com vidro","Barandilla de cristal",
RailingLGlassInv,"Glass Railing L-Shape",,"Rambarde en verre en L","Glasgeländer L-Form","Grade com vidro em L","Barandilla de cristal en forma de L",
RailingRoundGlassInv,"Glass Railing Round",圆形玻璃栏杆,"Rambarde en verre arrondie","Glasgeländer rund","Grade com vidro arredondada","Barandilla de cristal redonda",
RailingSlopeGlassRight,"Glass Railing Slope (right)",,"Rambarde inclinée en verre droite","Glasgeländer schräg (rechts)",,"Barandilla de cristal en pendiente (der)",
RailingSlopeGlassRightInv,"Glass Railing Slope (right)",,"Rambarde inclinée en verre droite","Glasgeländer schräg (rechts)",,"Barandilla de cristal en pendiente (der)",
RailingSlopeGlassLeft,"Glass Railing Slope (left)",,"Rambarde inclinée en verre gauche","Glasgeländer schräg (links)",,"Barandilla de cristal en pendiente (izq)",
RailingSlopeGlassLeftInv,"Glass Railing Slope (left)",,"Rambarde inclinée en verre gauche","Glasgeländer schräg (links)",,"Barandilla de cristal en pendiente (izq)",
RailingDiagonalGlass,"Glass Railing Diagonal",,"Rambarde diagonale en verre","Glassgeländer diagonal",,"Barandilla de cristal diagonal",
RailingDiagonalGlassInv,"Glass Railing Diagonal",,"Rambarde diagonale en verre","Glassgeländer diagonal",,"Barandilla de cristal diagonal",
InteriorWall,"Interior Wall",,"Mur intérieur",Innenwand,Parede,"Pared interior",
InteriorWallCorner,"Interior Wall Corner",,"Mur intérieur en coin","Innenwand Ecke","Parede de canto","Pared de esquina interior",
GrowingPot,"Growing Plot",,"Bloc horticole",Pflanzenbeet,Vaso,Maceta,
Cube,Cube,,Cube,Würfel,Cubo,Cubo,
InvertedCorner,"Cut Corner",,"Coin coupé","Ecke (abgeschnitten)","Canto cortado","Esquina cortada",
CornerLongA,"Corner Long A",,"Coin long A","Lange Ecke A","Corner Long A","Esquina larga A",
CornerLongB,"Corner Long B",,"Coin long B","Lange Ecke B","Corner Long B","Esquina larga B",
CornerLongC,"Corner Long C",,"Coin long C","Lange Ecke C","Corner Long C","Esquina larga C",
CornerLongD,"Corner Long D",,"Coin long D","Lange Ecke D","Corner Long D","Esquina larga D",
CornerLarge,"Corner Large A",,"Coin large A","Grosse Ecke A","Corner Large A","Esquina grande A",
Corner,Corner,,Coin,Ecke,Canto,Esquina,
RampTop,"Ramp Top",,"Rampe, haut","Rampe (oben)","Ramp Top","Rampa arriba",
RampBottom,"Ramp Bottom",,"Rampe bas","Rampe (unten)","Ramp Bottom","Parte inferior de la rampa",
Wedge,Slope,,Pente,Rampe,Slope,Pendiente,
CurveOutSlope,"Curved Corner",,"Coin arrondi","Gekrümmte Ecke","Curved Corner","Esquina curvada",
InvertedCornerRound,"Round Cut Corner",,"Coin arrondi coupé","Runde Ecke (abgeschnitten)","Round Cut Corner","Esquina Redonda",
HalfRound,"Round Corner",,"Coin arrondi","Runde Ecke","Round Corner","Esquina Redonda",
