QuarterRoundInv,"Inward Round Slope",
CurveOutSlopeInv,"Inward Curved Corner",
RoundSlopeEdgeInward,"Round Slope Edge Inward",
CylinderEndA,"Cylinder End A",
CylinderEndB,"Cylinder End B",
CylinderEndC,"Cylinder End C",
RampWedgeTop,"Ramp Wedge Top",
Round4WayConnector,"Round 4 Way Connector",
RoundSlopeEdge,"Round Slope Edge",
CornerLargeB,"Corner Large B",
CornerLargeC,"Corner Large C",
CornerLargeD,"Corner Large D",
CornerLongE,"Corner Long E",
PyramidA,"Pyramid A",
Wall,Wall,
WallCorner,"Wall L-shape",
WedgeThin,"Thin Slope",
CornerThin,"Thin Corner",
WallSloped,"Sloped Wall",
CornerRoundThin,"Round Corner Thin",
QuarterRoundThin,"Round Slope Thin",
RoundSlopeEdgeThin,"Round Slope Edge Thin",
RoundCornerLongThin,"Round Corner Long Thin",
CornerRoundThin2,"Corner Round Thin 2",
CornerThin2,"Corner Thin 2 ",
Wall3Corner,"Wall 3 Corner",
WallHalf,"Wall Half",
CubeHalf,"Cube Half",
RampTopDouble,"Ramp Top Double",
RampBottomA,"Ramp Bottom A",
RampBottomB,"Ramp Bottom B",
RampBottomC,"Ramp Bottom C",
RampWedgeBottom,"Ramp Wedge Bottom",
Beam,Beam,
CylinderThin,"Cylinder Thin",
CylinderThinTJoint,"Cylinder Thin T Joint",
CylinderThinCurved,"Cylinder Thin Curved",
CylinderFenceBottom,"Cylinder Fence Bottom",
CylinderFenceTop,"Cylinder Fence Top",
SlopeHalf,"Slope Half",
RampSteep,"Ramp Steep",
WindowSmallBlocks,"Window Blocks S",
WindowLargeBlocks,"Window Blocks L",
Window_v1x1,"Vertical 1x1",
Window_v1x2,"Vertical 1x2",
Window_v2x2,"Vertical 2x2",
Window_s1x1,"Slope 1x1",
Window_s1x2,"Slope 1x2",
Window_sd1x1,"Side 1x1",
Window_sd1x2,"Side 1x2",
Window_sd1x2V2,"Side 2 1x2",
Window_c1x1,"Corner 1x1",
Window_c1x2,"Corner 1x2",
Window_cr1x1,"Round Vertical",
Window_crc1x1,"Round Corner",
Window_crsd1x1,"Round Side",
Window_3side1x1,"Vertical Corner",
Window_L1x1,"Vertical L-Shape",
Window_crl1x1,"Round Corner Long",
Window_crse1x1,"Round Corner Edge",
Window_cc1x1,"Corner Thin",
Window_crctw1x1,"Round Corner Thin",
Window_creA1x1,"Connector A",
Window_creB1x1,"Connector B",
Window_v1x1Inv,"Vertical 1x1",
Window_v1x2Inv,"Vertical 1x2",
Window_v2x2Inv,"Vertical 2x2",
Window_s1x1Inv,"Slope 1x1",
Window_s1x2Inv,"Slope 1x2",
Window_sd1x1Inv,"Side 1x1",
Window_sd1x2Inv,"Side 1x2",
Window_sd1x2V2Inv,"Side 2 1x2",
Window_c1x1Inv,"Corner 1x1",
Window_c1x2Inv,"Corner 1x2",
Window_cr1x1Inv,"Round Vertical",
Window_crc1x1Inv,"Round Corner",
Window_crsd1x1Inv,"Round Side",
Window_3side1x1Inv,"Vertical Corner",
Window_L1x1Inv,"Vertical L-Shape",
Window_crl1x1Inv,"Round Corner Long",
Window_crse1x1Inv,"Round Corner Edge",
Window_cc1x1Inv,"Corner Thin",
Window_crctw1x1Inv,"Round Corner Thin",
Window_creA1x1Inv,"Connector A",
Window_creB1x1Inv,"Connector B",
WindowArmoredSmallBlocks,"Armored Window Blocks S",
WindowArmoredLargeBlocks,"Armored Window Blocks L",
WindowShutterSmallBlocks,"Shutter Window Blocks S",
WindowShutterLargeBlocks,"Shutter Window Blocks L",
Window_v1x1Thick,"Vertical 1x1",
Window_v1x2Thick,"Vertical 1x2",
Window_v2x2Thick,"Vertical 2x2",
Window_s1x1Thick,"Slope 1x1",
Window_s1x2Thick,"Slope 1x2",
Window_sd1x1Thick,"Side 1x1",
Window_sd1x2Thick,"Side 1x2",
Window_sd1x2V2Thick,"Side 2 1x2",
Window_c1x1Thick,"Corner 1x1",
Window_c1x2Thick,"Corner 1x2",
Window_cr1x1Thick,"Round Vertical",
Window_crc1x1Thick,"Round Corner",
Window_crsd1x1Thick,"Round Side",
Window_3side1x1Thick,"Vertical Corner",
Window_L1x1Thick,"Vertical L-Shape",
Window_crl1x1Thick,"Round Corner Long",
Window_crse1x1Thick,"Round Corner Edge",
Window_cc1x1Thick,"Corner Thin",
Window_crctw1x1Thick,"Round Corner Thin",
Window_creA1x1Thick,"Connector A",
Window_creB1x1Thick,"Connector B",
Window_v1x1ThickInv,"Vertical 1x1",
Window_v1x2ThickInv,"Vertical 1x2",
Window_v2x2ThickInv,"Vertical 2x2",
Window_s1x1ThickInv,"Slope 1x1",
Window_s1x2ThickInv,"Slope 1x2",
Window_sd1x1ThickInv,"Side 1x1",
Window_sd1x2ThickInv,"Side 1x2",
Window_sd1x2V2ThickInv,"Side 2 1x2",
Window_c1x1ThickInv,"Corner 1x1",
Window_c1x2ThickInv,"Corner 1x2",
Window_cr1x1ThickInv,"Round Vertical",
Window_crc1x1ThickInv,"Round Corner",
Window_crsd1x1ThickInv,"Round Side",
Window_3side1x1ThickInv,"Vertical Corner",
Window_L1x1ThickInv,"Vertical L-Shape",
Window_crl1x1ThickInv,"Round Corner Long",
Window_crse1x1ThickInv,"Round Corner Edge",
Window_cc1x1ThickInv,"Corner Thin",
Window_crctw1x1ThickInv,"Round Corner Thin",
Window_creA1x1ThickInv,"Connector A",
Window_creB1x1ThickInv,"Connector B",
WindowVertShutterArmored,"Vertical (non-transparent)",
WindowSlopedShutterArmored,"Slope (non-transparent)",
WindowSloped2ShutterArmored,"Slope Inv (non-transparent)",
WindowVertShutterTransArmored,"Vertical (transparent)",
WindowSlopedShutterTransArmored,"Slope (transparent)",
WindowVertBase,"Vertical (transparent)",
WindowSlopedBase,"Slope (transparent)",
WindowVertMS,"Vertical (non-transparent)",
WindowSlopedMS,"Slope (non-transparent)",
WindowSloped2MS,"Slope Inv (non-transparent)",
TrussCube,"Truss Block",
TrussWedge,"Truss Slope",
TrussCorner,"Truss Corner",
TrussSmallBlocks,"Truss Blocks S",
TrussLargeBlocks,"Truss Blocks L",
ArmorPlate,"Armor Plate",
SolarPanel,"Solar Panel Plate",
SolarBlock,"Solar Panel Slope",
InteriorKitchen,"Interior Kitchen",
InteriorKitchen02,"Interior Kitchen 2",
InteriorLiving,"Interior Livingroom",
InteriorLiving02,"Interior Livingroom 2",
InteriorBath,"Interior Bathroom",
BunkBed,"Bunk Bed",
DecoBlocks,"Furnishings (Deco)",
DecoBlocks2,"Lab Equipment (Deco)",
Scanner3,"Scanner 3",
Scanner2,"Scanner 2",
ScannerBase1,"Scanner 1",
Console4,"Console ",
LabTable1,"Lab Table 1",
LabTable2,"Lab Table 2",
LabTable3,"Lab Table 3",
LockerWShelves,Locker,
OperationTableWDrawers,"Operating Table",
Props6BoxLarge1,"Box Large 1",
Props6BoxLarge2,"Box Large 2",
Props6BoxMedium1,"Box Medium",
Freezer,"Box Large 3",
Level5FreezerOpened,"Cryo Chamber",
Tank1,Tank1,
Tank2,Tank2,
Level4Prop2,"Repository 1",
Level4Prop3,"Repository 2",
ConsoleBlocks,"Consoles (Deco)",
LCDScreenBlocks,"LCD Screen Blocks",
LCDNoFrame1x1,"LCD 1x1 (No Frame)",
LCDFrame1x1,"LCD 1x1 (Frame)",
LCDNoFrame1x2,"LCD 1x2 (No Frame)",
LCDFrame1x2,"LCD 1x2 (Frame)",
LCDNoFrame05x1,"LCD 0.5x1 (No Frame)",
LCDNoFrame05x05,"LCD 0.5x0.5 (No Frame)",
LCDNoFrame02x1,"LCD 0.2x1 (No Frame)",
LCDNoFrame02x05,"LCD 0.2x0.5 (No Frame)",
IndoorPlants,"Artificial Plants (Deco)",
CockpitMS01,Cockpit,
CockpitMS02,"Cockpit 2",
ThrusterJetRound1x3x1,"Thruster Jet S (1x3x1)",
ThrusterJetRound2x5x2,"Thruster Jet M (2x5x2)",
ThrusterJetRound3x7x3,"Thruster Jet L (3x7x3)",
ThrusterJetRound3x10x3,"Thruster Jet XL (3x10x3)",
ThrusterJetRound3x13x3,"Thruster Jet XXL (3x13x3)",
ThrusterSVRoundBlocks,"Thruster Blocks M",
ThrusterSVRoundNormal,"Thruster Regular M",
ThrusterSVRoundArmored,"Thruster Enclosed M",
ThrusterSVRoundSlant,"Thruster Slant M",
ThrusterSVRoundAtmo,"Thruster Long M",
ThrusterMSRoundBlocks,"Thruster Blocks M",
ThrusterMSRoundNormal,"Thruster Regular M",
ThrusterMSRoundArmored,"Thruster Enclosed M",
ThrusterMSRoundSlant,"Thruster Slant M",
ThrusterMSRound2x2Blocks,"Thruster Blocks L",
ThrusterMSRoundNormal2x2,"Thruster Regular L",
ThrusterMSRoundArmored2x2,"Thruster Enclosed L",
ThrusterMSRoundSlant2x2,"Thruster Slant L",
ThrusterMSRound3x3Blocks,"Thruster Blocks XL",
ThrusterMSRoundNormal3x3,"Thruster Regular XL",
ThrusterMSRoundArmored3x3,"Thruster Enclosed XL",
ThrusterMSRoundSlant3x3,"Thruster Slant XL",
ThrusterMSDirectional,"Thruster S",
ThrusterSVDirectional,"Thruster S",
ThrusterGVDirectional,"Thruster S",
ThrusterGVRoundBlocks,"Thruster Blocks M",
ThrusterGVRoundNormal,"Thruster Regular M",
ThrusterGVRoundArmored,"Thruster Enclosed M",
ThrusterGVRoundSlant,"Thruster Slant M",
FridgeMS,"Fridge (T1)",
FridgeMS02,"Fridge (T2)",
FridgeSV,Fridge,
OxygenTankSmallMS,"Small O2 Tank",
OxygenTankMS,"Large O2 Tank",
OxygenTankSV,"O2 Tank",
PassengerSeat2SV,"Passenger Seat (open)",
PassengerSeatSV,"Passenger Seat (closed)",
PassengerSeatSS_Slope,"Passenger Seat",
PassengerSeatSS_Cube,"Passenger Seat",
ConstructorT1,"Large Constructor (old - please replace)",
ConstructorT1V2,"Large Constructor",
ConstructorT2,"Advanced Constructor",
AutoMiningDeviceT1,"Auto Mining Device (T1)",
AutoMiningDeviceT2,"Auto Mining Device (T2)",
AutoMiningDeviceT3,"Auto Mining Device (T3)",
ConstructorMS,"Large Constructor",
ConstructorRecursive,"Advanced Constructor",
ConstructorSV,"Mobile Constructor (old - please replace)",
ConstructorSmallV2,"Mobile Constructor",
ConstructorSurvival,"Survival Constructor",
ConstructorSurvivalV2,"Survival Constructor",
ElevatorMS,"Elevator Block",
WarpDriveTank,"Warp Drive Tank",
WarpDrive,"Warp Drive",
GeneratorMS,"Large Generator (T1)",
GeneratorMST2,"Large Generator (T2)",
GeneratorBA,"Small Generator",
CloneChamber,"Clone Chamber",
MedicinelabMS,"Medic Station",
OxygenStation,"O2 Station",
OxygenStationSV,"O2 Station",
OxygenStationSS,"O2 Station",
GravityGeneratorMS,"Gravity Generator",
OfflineProtector,"Offline Protection",
RCSBlockSV,RCS,
RCSBlockGV,RCS,
RCSBlockEscapePod,"RCS (damaged)",
RCSBlockMS,RCS,
RCSBlockMS_T2,"RCS (T2)",
ContainerBlocks,"Cargo Box Blocks",
ContainerMS01,"Cargo Box",
ContainerRandom,"Cargo Box (POI)",
LightLargeBlocks,"Light Blocks",
LightLantern,"Light (Lantern)",
LightMS01,"Light 1",
LightMS01Corner,"Light 1 (Corner)",
LightMS01Offset,"Light 1 (not centered)",
LightMS02,"Light 2",
LightMS03,"Light 3",
LightMS04,"Light 4",
LightInterior01,"Light 5",
LightInterior02,"Light 6",
LightSS01,Light,
Flare,Flare,
LightWork,"Portable Work Light 1",
LightWork02,"Portable Work Light 2",
LightPlant01,"Plant Grow Light",
DoorBlocks,"Automatic Door Blocks",
DoorMS01,"Automatic Door 1",
DoorInterior01,"Automatic Door 2",
DoorInterior02,"Automatic Door 3",
DoorVertical,"Automatic Door 1 (vert)",
DoorVerticalGlass,"Automatic Door 2 (vert)",
DoorArmoredBlocks,"Armored Automatic Door Blocks",
DoorArmored,"Automatic Armored Door",
DoorVerticalArmored,"Automatic Armored Door (vert)",
DoorSS01,"Manual Door",
HangarDoorBlocks,"Hangar Doors",
HangarDoor01Large2,"Hangar Door (13x7)",
HangarDoor01Medium2,"Hangar Door (9x5)",
HangarDoor01Small2,"Hangar Door (5x3)",
HangarDoor01Large,"Hangar Door (14x7)",
HangarDoor01Medium,"Hangar Door (10x5)",
HangarDoor01Small,"Hangar Door (6x3)",
ShutterDoorBlocks,"Shutter Doors",
ShutterDoor1x1,"Shutter Door (1x1)",
ShutterDoor1x2,"Shutter Door (1x2)",
ShutterDoor2x2,"Shutter Door (2x2)",
ShutterDoor2x3,"Shutter Door (2x3)",
ShutterDoor3x3,"Shutter Door (3x3)",
ShutterDoor4x4,"Shutter Door (4x4)",
ShutterDoor5x5,"Shutter Door (5x5)",
ShutterDoorBlocksSV,"Shutter Doors",
ShutterDoor1x1SV,"Shutter Door (1x1)",
ShutterDoor2x2SV,"Shutter Door (2x2)",
ShutterDoor3x3SV,"Shutter Door (3x3)",
ShutterDoor3x4SV,"Shutter Door (3x4)",
RampBlocks,"Ramp Blocks",
Ramp1x1x1,"Ramp (1x1x1)",
Ramp1x2x1,"Ramp (1x2x1)",
Ramp1x3x1,"Ramp (1x3x1)",
Ramp1x4x2,"Ramp (1x4x2)",
Ramp3x1x1,"Ramp (3x1x1)",
Ramp3x2x1,"Ramp (3x2x1)",
Ramp3x3x1,"Ramp (3x3x1)",
Ramp3x4x2,"Ramp (3x4x2)",
Ramp3x5x3,"Ramp (3x5x3)",
OxygenGeneratorSmall,"Emergency O2 Generator",
OxygenGenerator,"Oxygen Generator",
OxygenHydrogenGenerator,"Oxygen Hydrogen Generator",
WaterGenerator,"Water Generator",
FoodProcessorMS,"Food Processor (old - please replace)",
FoodProcessorV2,"Food Processor",
DockingPad,"Docking Pad",
LandinggearBlocksSV,"Landinggear Blocks (T1)",
LandinggearBlocksHeavySV,"Landinggear Blocks (T2)",
LandinggearShort,"Docking Pad",
LandinggearSV,"Landing Gear 1",
LandinggearSingle,"Landing Gear 2",
LandinggearSingleShort,"Landing Gear 3",
LandinggearDouble,"Heavy Landing Gear 1",
LandinggearDoubleShort,"Heavy Landing Gear 2",
LandinggearHeavySV,"Heavy Landing Gear 3",
LandinggearBlocksCV,"Landinggear Blocks",
LandinggearMSLight,"Landing Gear 1",
LandinggearSingleCV,"Landing Gear 2",
LandinggearSingleShortCV,"Landing Gear 3",
LandinggearDoubleCV,"Heavy Landing Gear 1",
LandinggearDoubleShortCV,"Heavy Landing Gear 2",
LandinggearMSHeavy,"Heavy Landing Gear 3",
ContainerAmmoSmall,"Small Ammo Box",
ContainerAmmoLarge,"Large Ammo Box",
GeneratorSV,Generator,
FuelTankSV,"Fuel Tank",
FuelTankMSSmall,"Fuel Tank (T1)",
FuelTankMSLarge,"Fuel Tank (T2)",
FuelTankMSLargeT2,"Fuel Tank (T3)",
FuelTankPOI,"Fuel Tank POI",
RepairBayBA,"Repair Bay",
RepairBayCV,"Repair Bay",
ATM,ATM,
OxygenTankEscapePod,"O2 Tank",
HoverBooster,"Hover Booster",
HoverEngineSmall,"Hover Engine (1x1)",
HoverEngineLarge,"Hover Engine (2x2)",
CockpitSV_fighter,"Cockpit 8",
CockpitSV_fighter_Noscale,"Cockpit 7",
CockpitSV_ShortRange,"Cockpit 5",
CockpitSV,"Cockpit 6",
CockpitSV02,"Cockpit 1",
CockpitSV03,"Cockpit 2",
CockpitSV05,"Cockpit 3",
CockpitSV07,"Cockpit 4",
CockpitSV01,"Cockpit 9",
CockpitOpenSV,"Cockpit (open)",
PassengerSeatMS,"Passenger Seat",
SpotlightSS,"Spotlight Slope",
SpotlightSSCube,"Spotlight Cube",
ContainerEscapePod1,"Cargo Box",
ContainerEscapePod2,"Cargo Box",
ContainerEscapePod3,"Cargo Box",
ContainerEscapePod4,"Cargo Box",
ContainerEscapePod5,"Cargo Box",
ContainerEscapePod6,"Cargo Box",
AlienContainer,"Alien Container",
AlienContainerRare,"Alien Container (Rare)",
AlienContainerVeryRare,"Alien Container (Very Rare)",
AlienContainerUltraRare,"Alien Container (Ultra Rare)",
CorePlayer,Core,
CoreEnemy,"Alien Core",
CoreFlyDir,"Core (obsolete)",
Stone,Stone,
Air,Container,
PlayerBike,Motorbike,
PlayerBikeKit,"Motorbike Construction Kit",
ConsoleMS01,"Console (Deco)",
AntennaMS01,"Antenna (Deco)",
TurretRadar,"Radar (Deco)",
CapacitorMS,"Capacitor (Deco)",
CapacitorSS,"Capacitor SV (Deco)",
ConsoleSmallMS01,"Console (Deco)",
ConsoleLargeMS01,"Console (Deco)",
ConsoleLargeMS01a,"Console (Deco)",
ConsoleLargeMS02,"Console (Deco)",
ConsoleMapMS01,"Console (Deco)",
HoloScreen01,"Holographic Screen 01",
HoloScreen02,"Holographic Screen 02",
HoloScreen03,"Holographic Screen 03",
HoloScreen04,"Holographic Screen 04",
HoloScreen05,"Holographic Screen 05",
SciencelabMS,"Science Lab (Deco)",
TurretMSMinigun,"Minigun Turret",
TurretMSCannon,"Cannon Turret",
TurretMSFlak,"Flak Turret",
TurretMSRocket,"Rocket Turret",
TurretMSPlasma,"Plasma Turret",
TurretMSArtillery,"Artillery Turret",
TurretMSPulseLaser,"Pulse Laser Turret",
TurretBaseMinigun,"Minigun Turret",
TurretBaseCannonOld,"Cannon Turret",
TurretBaseCannon,"Cannon Turret",
TurretBaseRocketOld,"Rocket Turret",
TurretBaseRocket,"Rocket Turret",
TurretBaseFlak,"Flak Turret",
TurretBasePlasma,"Plasma Turret",
TurretBasePulseLaser,"Pulse Laser Turret",
TurretBaseArtillery,"Artillery Turret",
TurretEnemyLaser,"Laser Turret - Planet (Alien)",
TurretIONCannon,"Ion Cannon - Planet (Alien)",
TurretIONCannon2,"Ion Cannon - Space (Alien)",
TurretGVMinigun,"Minigun Turret",
TurretGVRocket,"Rocket Turret",
TurretGVPlasma,"Plasma Turret",
TurretGVArtillery,"Artillery Turret",
SentryGun01,"Sentry Gun 1 (Alien)",
SentryGun02,"Sentry Gun 2 (Alien)",
SentryGun03,"Sentry Gun 3 (Player)",
SentryGun04,"Sentry Gun 4 (Alien)",
sentryGunSingle,Cannon,
WeaponSV01,"Rail Gun",
WeaponSV02,"Gatling Gun",
WeaponSV03,"Pulse Laser",
WeaponSV04,"Plasma Cannon",
WeaponSV05,"Rocket Launcher",
WeaponSV05Homing,"Rocket Launcher (Homing)",
WeaponMS01,"Rocket Launcher",
WeaponMS02,"Pulse Laser",
SawAttachment,"Harvester Module",
SawAttachmentWeapon,"Harvester Module",
Chainsaw,Chainsaw,
TextureTool,"Texture & Symbol Tool",
ColorTool,"Color Tool",
ChangeTool,"Change & Rotate Tool",
OxygenBottleLarge,"O2 Bottle",
OxygenBottleSmall,"Small O2 Bottle",
HydrogenBottle,"Hydrogen Bottle",
Flashlight,Flashlight,
Drill,Drill,
DrillT2,"Drill (T2)",
DrillT0,"Mechanical Drill",
MultiTool,"Multi Tool",
MultiToolT2,"Multi Tool (T2)",
Fillertool,"Filler & Flatten Tool",
Backpack,Backpack,
DropContainer,"Drop Container",
Pistol,"Projectile Pistol",
PistolT2,"Projectile Pistol (T2)",
PistolEpic,"Epic Projectile Pistol",
LaserPistol,"Laser Pistol",
LaserRifle,"Laser Rifle",
LaserRifleEpic,"Epic Laser Rifle",
Shotgun,Shotgun,
Shotgun2,"Shotgun (T2)",
Shotgun2Epic,"Epic Shotgun",
Minigun,Minigun,
MinigunEpic,"Epic Minigun",
AssaultRifle,"Assault Rifle",
AssaultRifleEpic,"Epic Assault Rifle",
PulseRifle,"Pulse Rifle",
Sniper,"Sniper Rifle",
Sniper2,"Sniper (T2)",
Sniper2Epic,"Epic Sniper",
RocketLauncher,"Rocket Launcher",
RocketLauncherT2,"Rocket Launcher (T2)",
RocketLauncherEpic,"Epic Rocket Launcher",
ScifiCannon,"Plasma Cannon",
ScifiCannonEpic,"Epic Plasma Cannon",
Explosives,"Explosive Device",
TurretMSMinigunWeapon,"Minigun Turret",
TurretMSCannonWeapon,"Cannon Turret",
TurretMSFlakWeapon,"Flak Turret",
TurretMSRocketWeapon,"Rocket Turret",
